"Ensgid"	"rsid"	"near_id"	"dist"	"hgnc_symbol"	"name"
"ENSG00000006837"	"rs112349722"	"ENSG00000006837//CDKL3"	0	"CDKL3"	"cyclin dependent kinase like 3"
"ENSG00000012232"	"rs10095449"	"ENSG00000012232//EXTL3"	331	"EXTL3"	"exostosin like glycosyltransferase 3"
"ENSG00000012232"	"rs62504329"	"ENSG00000012232//EXTL3"	1332	"EXTL3"	"exostosin like glycosyltransferase 3"
"ENSG00000012232"	"rs76519089"	"ENSG00000012232//EXTL3"	1433	"EXTL3"	"exostosin like glycosyltransferase 3"
"ENSG00000013297"	"rs34635471"	"ENSG00000013297//CLDN11"	0	"CLDN11"	"claudin 11"
"ENSG00000013297"	"rs75971282"	"ENSG00000013297//CLDN11"	0	"CLDN11"	"claudin 11"
"ENSG00000013297"	"rs78303916"	"ENSG00000013297//CLDN11"	0	"CLDN11"	"claudin 11"
"ENSG00000019991"	"rs6942495"	"ENSG00000019991//HGF"	2759	"HGF"	"hepatocyte growth factor"
"ENSG00000019991"	"rs917183"	"ENSG00000019991//HGF"	4459	"HGF"	"hepatocyte growth factor"
"ENSG00000019991"	"rs6467872"	"ENSG00000019991//HGF"	5128	"HGF"	"hepatocyte growth factor"
"ENSG00000019991"	"rs1558001"	"ENSG00000019991//HGF"	7326	"HGF"	"hepatocyte growth factor"
"ENSG00000019991"	"rs2214823"	"ENSG00000019991//HGF"	8342	"HGF"	"hepatocyte growth factor"
"ENSG00000019991"	"rs10277195"	"ENSG00000019991//HGF"	9286	"HGF"	"hepatocyte growth factor"
"ENSG00000026297"	"rs3777722"	"ENSG00000026297//RNASET2"	0	"RNASET2"	"ribonuclease T2"
"ENSG00000026297"	"rs3777723"	"ENSG00000026297//RNASET2"	0	"RNASET2"	"ribonuclease T2"
"ENSG00000026297"	"rs3798303"	"ENSG00000026297//RNASET2"	0	"RNASET2"	"ribonuclease T2"
"ENSG00000026297"	"rs2769339"	"ENSG00000026297//RNASET2"	0	"RNASET2"	"ribonuclease T2"
"ENSG00000048052"	"rs2106507"	"ENSG00000048052//HDAC9"	0	"HDAC9"	"histone deacetylase 9"
"ENSG00000048052"	"rs1346340"	"ENSG00000048052//HDAC9"	0	"HDAC9"	"histone deacetylase 9"
"ENSG00000048052"	"rs801758"	"ENSG00000048052//HDAC9"	0	"HDAC9"	"histone deacetylase 9"
"ENSG00000065371"	"rs142815855"	"ENSG00000065371//ROPN1"	9718	"ROPN1"	"rhophilin associated tail protein 1"
"ENSG00000081059"	"rs113828344"	"ENSG00000081059//TCF7"	0	"TCF7"	"transcription factor 7"
"ENSG00000101782"	"rs45523933"	"ENSG00000101782//RIOK3"	0	"RIOK3"	"RIO kinase 3"
"ENSG00000101782"	"rs116874486"	"ENSG00000101782//RIOK3"	0	"RIOK3"	"RIO kinase 3"
"ENSG00000101782"	"rs45543232"	"ENSG00000101782//RIOK3"	324	"RIOK3"	"RIO kinase 3"
"ENSG00000101782"	"rs141365745"	"ENSG00000101782//RIOK3"	0	"RIOK3"	"RIO kinase 3"
"ENSG00000101782"	"rs149637318"	"ENSG00000101782//RIOK3"	0	"RIOK3"	"RIO kinase 3"
"ENSG00000101782"	"rs148815221"	"ENSG00000101782//RIOK3"	5820	"RIOK3"	"RIO kinase 3"
"ENSG00000101782"	"rs116043738"	"ENSG00000101782//RIOK3"	0	"RIOK3"	"RIO kinase 3"
"ENSG00000101782"	"rs76678272"	"ENSG00000101782//RIOK3"	0	"RIOK3"	"RIO kinase 3"
"ENSG00000101782"	"rs143016572"	"ENSG00000101782//RIOK3"	0	"RIOK3"	"RIO kinase 3"
"ENSG00000101782"	"rs115121857"	"ENSG00000101782//RIOK3"	0	"RIOK3"	"RIO kinase 3"
"ENSG00000101782"	"rs188940632"	"ENSG00000101782//RIOK3"	0	"RIOK3"	"RIO kinase 3"
"ENSG00000101782"	"rs142796246"	"ENSG00000101782//RIOK3"	1893	"RIOK3"	"RIO kinase 3"
"ENSG00000101782"	"rs146060215"	"ENSG00000101782//RIOK3"	4617	"RIOK3"	"RIO kinase 3"
"ENSG00000101782"	"rs80158882"	"ENSG00000101782//RIOK3"	0	"RIOK3"	"RIO kinase 3"
"ENSG00000101782"	"rs75019445"	"ENSG00000101782//RIOK3"	123	"RIOK3"	"RIO kinase 3"
