chr10	6131041	6131042	rs140764661	chr10	6130646	6131390	POLR2A	GM18505
chr10	6131311	6131312	rs76943221	chr10	6130646	6131390	POLR2A	GM18505
chr10	99258222	99258223	rs3750558	chr10	99257371	99259028	POLR2A	GM18505
chr10	99258222	99258223	rs3750558	chr10	99257600	99258324	RELA	GM18505
chr13	49549910	49549911	rs114162077	chr13	49549200	49551261	POLR2A	GM18505
chr18	20939077	20939078	rs140366331	chr18	20938725	20939170	RELA	GM18505
chr18	21018019	21018020	rs77056984	chr18	21017433	21018183	POLR2A	GM18505
chr18	21068459	21068460	rs142796246	chr18	21067848	21068605	POLR2A	GM18505
chr2	101179797	101179798	rs58420974	chr2	101178857	101180098	POLR2A	GM18505
chr2	113521753	113521754	rs7594852	chr2	113521580	113522780	POLR2A	GM18505
