chr1	63529092	63529093	rs17124480	chr1	63528993	63529462	CTCF	GM12891
chr10	6131041	6131042	rs140764661	chr10	6130540	6131049	CTCF	GM12891
chr10	6131041	6131042	rs140764661	chr10	6130567	6131061	RELA	GM12891
chr10	6131041	6131042	rs140764661	chr10	6130581	6131117	YY1	GM12891
chr10	6131041	6131042	rs140764661	chr10	6130646	6131390	POLR2A	GM12891
chr10	6131041	6131042	rs140764661	chr10	6130720	6131053	PAX5	GM12891
chr10	6131041	6131042	rs140764661	chr10	6130831	6131294	TAF1	GM12891
chr10	6131311	6131312	rs76943221	chr10	6130646	6131390	POLR2A	GM12891
chr10	6165524	6165525	rs4750000	chr10	6165495	6165735	SPI1	GM12891
chr10	99258222	99258223	rs3750558	chr10	99257371	99259028	POLR2A	GM12891
chr10	99258222	99258223	rs3750558	chr10	99257600	99258324	RELA	GM12891
chr10	99258222	99258223	rs3750558	chr10	99257919	99258310	YY1	GM12891
chr10	99258222	99258223	rs3750558	chr10	99257936	99258310	TAF1	GM12891
chr10	99258222	99258223	rs3750558	chr10	99257979	99258289	POU2F2	GM12891
chr13	37424982	37424983	rs535884	chr13	37424890	37425357	CTCF	GM12891
chr13	37425149	37425150	rs624770	chr13	37424890	37425357	CTCF	GM12891
chr13	37432357	37432358	rs36028156	chr13	37432311	37432751	CTCF	GM12891
chr13	49549910	49549911	rs114162077	chr13	49549146	49549942	CTCF	GM12891
chr13	49549910	49549911	rs114162077	chr13	49549200	49551261	POLR2A	GM12891
chr13	49549910	49549911	rs114162077	chr13	49549798	49551030	TAF1	GM12891
chr13	49549910	49549911	rs114162077	chr13	49549824	49550360	YY1	GM12891
chr13	111659798	111659799	rs35678043	chr13	111659596	111659822	SPI1	GM12891
chr14	56168498	56168499	rs12895072	chr14	56168392	56168746	POU2F2	GM12891
chr14	56168498	56168499	rs12895072	chr14	56168425	56168777	YY1	GM12891
chr17	55712436	55712437	rs117716553	chr17	55712289	55712799	POLR2A	GM12891
chr17	59471081	59471082	rs917533	chr17	59470952	59471578	CTCF	GM12891
chr17	71013499	71013500	rs7218007	chr17	71013326	71013696	RELA	GM12891
chr18	20817044	20817045	rs45560835	chr18	20817044	20817302	CTCF	GM12891
chr18	20817062	20817063	rs45541339	chr18	20817044	20817302	CTCF	GM12891
chr18	20820140	20820141	rs183744708	chr18	20820071	20820485	RELA	GM12891
chr18	20820140	20820141	rs183744708	chr18	20820100	20820448	POU2F2	GM12891
chr18	20822655	20822656	rs45602738	chr18	20822084	20822757	POLR2A	GM12891
chr18	20888698	20888699	rs79921241	chr18	20888498	20888808	POU2F2	GM12891
chr18	20939077	20939078	rs140366331	chr18	20938590	20939160	POLR2A	GM12891
chr18	20939077	20939078	rs140366331	chr18	20938725	20939170	RELA	GM12891
chr18	20939077	20939078	rs140366331	chr18	20938807	20939211	CTCF	GM12891
chr18	20939077	20939078	rs140366331	chr18	20938850	20939097	POU2F2	GM12891
chr18	21018019	21018020	rs77056984	chr18	21017433	21018183	POLR2A	GM12891
chr18	21068459	21068460	rs142796246	chr18	21067848	21068605	POLR2A	GM12891
chr2	29171963	29171964	rs6754680	chr2	29171787	29172614	POLR2A	GM12891
chr2	101179797	101179798	rs58420974	chr2	101178857	101180098	POLR2A	GM12891
chr2	101179797	101179798	rs58420974	chr2	101179085	101179991	RELA	GM12891
chr2	101179797	101179798	rs58420974	chr2	101179554	101179993	TAF1	GM12891
chr2	113484440	113484441	rs2138606	chr2	113484201	113484643	RELA	GM12891
chr2	113484440	113484441	rs2138606	chr2	113484256	113484485	SPI1	GM12891
chr2	113484440	113484441	rs2138606	chr2	113484280	113484669	YY1	GM12891
chr2	113484440	113484441	rs2138606	chr2	113484308	113484708	CTCF	GM12891
chr2	113539971	113539972	rs2856838	chr2	113539757	113540033	SPI1	GM12891
chr2	134256977	134256978	rs1008125	chr2	134256724	134257133	RELA	GM12891
chr2	134276759	134276760	rs1897432	chr2	134276493	134276863	RELA	GM12891
chr2	134277479	134277480	rs6430425	chr2	134277216	134277673	CTCF	GM12891
chr3	53418797	53418798	rs17053026	chr3	53418583	53418953	RELA	GM12891
chr3	187988288	187988289	rs6789758	chr3	187988258	187988506	SPI1	GM12891
chr4	162936486	162936487	rs114095010	chr4	162936392	162936510	SPI1	GM12891
chr5	157886626	157886627	rs2946179	chr5	157886545	157886915	RELA	GM12891
chr6	113149091	113149092	rs9320418	chr6	113149043	113149413	RELA	GM12891
chr6	113149331	113149332	rs34514373	chr6	113149043	113149413	RELA	GM12891
chr6	113163583	113163584	rs2347387	chr6	113163561	113163801	SPI1	GM12891
chr6	119907776	119907777	rs12524607	chr6	119907702	119908000	CTCF	GM12891
chr6	119907776	119907777	rs12524607	chr6	119907709	119908067	SPI1	GM12891
chr9	32550911	32550912	rs112527210	chr9	32550525	32551946	POLR2A	GM12891
chr9	32550911	32550912	rs112527210	chr9	32550630	32551097	CTCF	GM12891
