chr1	63529092	63529093	rs17124480	chr1	63528993	63529462	CTCF	GM12875
chr10	6131041	6131042	rs140764661	chr10	6130540	6131049	CTCF	GM12875
chr13	37424982	37424983	rs535884	chr13	37424890	37425357	CTCF	GM12875
chr13	37425149	37425150	rs624770	chr13	37424890	37425357	CTCF	GM12875
chr13	37432357	37432358	rs36028156	chr13	37432311	37432751	CTCF	GM12875
chr13	49549910	49549911	rs114162077	chr13	49549146	49549942	CTCF	GM12875
chr17	59471081	59471082	rs917533	chr17	59470952	59471578	CTCF	GM12875
chr18	20939077	20939078	rs140366331	chr18	20938807	20939211	CTCF	GM12875
chr18	57663582	57663583	rs11876488	chr18	57663567	57663991	CTCF	GM12875
chr18	57663814	57663815	rs11872821	chr18	57663567	57663991	CTCF	GM12875
chr2	113484440	113484441	rs2138606	chr2	113484308	113484708	CTCF	GM12875
chr2	134277479	134277480	rs6430425	chr2	134277216	134277673	CTCF	GM12875
