chr1	63529092	63529093	rs17124480	chr1	63528993	63529462	CTCF	GM12892
chr10	6131041	6131042	rs140764661	chr10	6130540	6131049	CTCF	GM12892
chr10	6131041	6131042	rs140764661	chr10	6130567	6131061	RELA	GM12892
chr10	6131041	6131042	rs140764661	chr10	6130581	6131117	YY1	GM12892
chr10	6131041	6131042	rs140764661	chr10	6130646	6131390	POLR2A	GM12892
chr10	6131041	6131042	rs140764661	chr10	6130720	6131053	PAX5	GM12892
chr10	6131041	6131042	rs140764661	chr10	6130831	6131294	TAF1	GM12892
chr10	6131311	6131312	rs76943221	chr10	6130646	6131390	POLR2A	GM12892
chr10	99258222	99258223	rs3750558	chr10	99257371	99259028	POLR2A	GM12892
chr10	99258222	99258223	rs3750558	chr10	99257919	99258310	YY1	GM12892
chr10	99258222	99258223	rs3750558	chr10	99257936	99258310	TAF1	GM12892
chr13	37424982	37424983	rs535884	chr13	37424890	37425357	CTCF	GM12892
chr13	37425149	37425150	rs624770	chr13	37424890	37425357	CTCF	GM12892
chr13	37432357	37432358	rs36028156	chr13	37432311	37432751	CTCF	GM12892
chr13	49549910	49549911	rs114162077	chr13	49549200	49551261	POLR2A	GM12892
chr13	49549910	49549911	rs114162077	chr13	49549760	49550091	PAX5	GM12892
chr13	49549910	49549911	rs114162077	chr13	49549798	49551030	TAF1	GM12892
chr13	49549910	49549911	rs114162077	chr13	49549824	49550360	YY1	GM12892
chr13	111686284	111686285	rs34061305	chr13	111686020	111686444	CTCF	GM12892
chr14	56168498	56168499	rs12895072	chr14	56168425	56168777	YY1	GM12892
chr17	59471081	59471082	rs917533	chr17	59470952	59471578	CTCF	GM12892
chr18	20822655	20822656	rs45602738	chr18	20822084	20822757	POLR2A	GM12892
chr18	20839628	20839629	rs45447497	chr18	20839521	20840679	POLR2A	GM12892
chr18	20839928	20839929	rs181550434	chr18	20839521	20840679	POLR2A	GM12892
chr18	20939077	20939078	rs140366331	chr18	20938807	20939211	CTCF	GM12892
chr18	21018019	21018020	rs77056984	chr18	21017433	21018183	POLR2A	GM12892
chr18	21068459	21068460	rs142796246	chr18	21067848	21068605	POLR2A	GM12892
chr18	57663582	57663583	rs11876488	chr18	57663567	57663991	CTCF	GM12892
chr18	57663814	57663815	rs11872821	chr18	57663567	57663991	CTCF	GM12892
chr2	29128321	29128322	rs6547889	chr2	29127830	29128510	POLR2A	GM12892
chr2	29171963	29171964	rs6754680	chr2	29171787	29172614	POLR2A	GM12892
chr2	101179797	101179798	rs58420974	chr2	101178857	101180098	POLR2A	GM12892
chr2	101179797	101179798	rs58420974	chr2	101179554	101179993	TAF1	GM12892
chr2	113484440	113484441	rs2138606	chr2	113484258	113484592	PAX5	GM12892
chr2	113484440	113484441	rs2138606	chr2	113484280	113484669	YY1	GM12892
chr2	113484440	113484441	rs2138606	chr2	113484308	113484708	CTCF	GM12892
chr2	113521753	113521754	rs7594852	chr2	113521580	113522780	POLR2A	GM12892
chr2	134277479	134277480	rs6430425	chr2	134277216	134277673	CTCF	GM12892
chr9	32550911	32550912	rs112527210	chr9	32550525	32551946	POLR2A	GM12892
chr9	32550911	32550912	rs112527210	chr9	32550616	32551178	YY1	GM12892
chr9	32550911	32550912	rs112527210	chr9	32550630	32551097	CTCF	GM12892
