chr1	36591611	36591612	rs12123086	chr1	36590642	36591682	EZH2	NHEK
chr1	48643056	48643057	rs74660634	chr1	48642731	48643155	CTCF	NHEK
chr1	63529092	63529093	rs17124480	chr1	63528993	63529462	CTCF	NHEK
chr10	6131041	6131042	rs140764661	chr10	6130540	6131049	CTCF	NHEK
chr10	99258222	99258223	rs3750558	chr10	99257371	99259028	POLR2A	NHEK
chr13	37424982	37424983	rs535884	chr13	37424890	37425357	CTCF	NHEK
chr13	37425149	37425150	rs624770	chr13	37424890	37425357	CTCF	NHEK
chr13	37432357	37432358	rs36028156	chr13	37432311	37432751	CTCF	NHEK
chr13	49549910	49549911	rs114162077	chr13	49549146	49549942	CTCF	NHEK
chr13	111680120	111680121	rs35716369	chr13	111679996	111680439	CTCF	NHEK
chr14	55999681	55999682	rs4901582	chr14	55999558	56000007	CTCF	NHEK
chr14	55999718	55999719	rs2181742	chr14	55999558	56000007	CTCF	NHEK
chr14	55999724	55999725	rs2181743	chr14	55999558	56000007	CTCF	NHEK
chr17	59471081	59471082	rs917533	chr17	59470952	59471578	CTCF	NHEK
chr17	59473364	59473365	rs60261365	chr17	59472670	59479722	EZH2	NHEK
chr17	59480330	59480331	rs59172073	chr17	59480158	59483929	EZH2	NHEK
chr17	71000029	71000030	rs147791291	chr17	70999606	71000030	CTCF	NHEK
chr18	20939077	20939078	rs140366331	chr18	20938807	20939211	CTCF	NHEK
chr18	57663582	57663583	rs11876488	chr18	57663567	57663991	CTCF	NHEK
chr18	57663814	57663815	rs11872821	chr18	57663567	57663991	CTCF	NHEK
chr2	113484440	113484441	rs2138606	chr2	113484308	113484708	CTCF	NHEK
chr2	113531084	113531085	rs112316876	chr2	113530839	113531429	POLR2A	NHEK
chr2	134277479	134277480	rs6430425	chr2	134277216	134277673	CTCF	NHEK
chr2	134290523	134290524	rs1368092	chr2	134290388	134290880	CTCF	NHEK
chr3	53293156	53293157	rs6781629	chr3	53293002	53293283	CTCF	NHEK
chr9	113188571	113188572	rs1410050	chr9	113188347	113188792	CTCF	NHEK
chr9	113191760	113191761	rs148059692	chr9	113191726	113192167	CTCF	NHEK
